Major Pipeline Crossing Multiple State Borders (Capacity in MMcfd),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Pipeline,Segment,State From,State To,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
,Dominion Transmission Co,Main Line,Max Capacity (Eastward ),,700,700,700,700,700,700,700,700,700,700,700,465
,,,,,,,,,,,,,,,,
,East Tennessee Nat Gas Co,M1,Tennessee,Georgia,222,222,222,222,222,222,222,222,222,222,222,222
,East Tennessee Nat Gas Co,M2,Tennessee,Virginia,70,70,70,70,70,70,70,70,70,70,70,70
,East Tennessee Nat Gas Co,L1,Virginia,North Carolina,570,570,570,570,570,570,570,570,570,570,570,315
,East Tennessee Nat Gas Co,M2 Back,Virginia,Tennessee,220,220,220,220,220,220,220,220,70,70,70,70
,East Tennessee Nat Gas Co,Main Line,Max Capacity (Eastward ),,222,222,222,222,222,222,222,222,222,222,222,222
,East Tennessee Nat Gas Co,Main Line,Max Capacity (Westward ),,570,570,220,220,220,220,220,220,70,70,70,70
,East Tennessee Nat Gas Co,Transco Lateral,Max Capacity,,570,570,570,570,570,570,570,570,570,570,570,315
,,,,,,,,,,,,,,,,
,El Paso Nat Gas Co,M1,Texas,New Mexico,"3,252","3,070","3,070","3,070","3,070","3,070","3,070","3,070","3,070","3,070","3,070","3,070"
,El Paso Nat Gas Co,M2,New Mexico,Arizona,"4,679","4,497","4,497","4,497","4,497","4,497","4,497","4,497","4,685","4,685","4,685","4,685"
,El Paso Nat Gas Co,M3,Arizona,California,"4,174","3,992","3,992","3,992","3,992","3,992","3,992","3,992","3,992","3,992","3,992","3,992"
,El Paso Nat Gas Co,L1,Oklahoma,Texas,250,250,250,250,250,250,250,250,250,250,250,250
,El Paso Nat Gas Co,L2,Colorado,New Mexico,790,790,790,790,790,790,790,790,790,790,790,790
,El Paso Nat Gas Co,L3,Texas,Mexico,910,910,910,910,910,910,308,308,308,308,308,308
,El Paso Nat Gas Co,L4,Arizona,Mexico,512,512,512,489,489,489,489,251,251,251,251,251
,El Paso Nat Gas Co,L1 Back,Texas,Oklahoma,152,152,152,152,152,152,152,152,152,152,152,152
,El Paso Nat Gas Co,M1 Back,New Mexico,Texas,700,700,700,700,700,700,700,700,700,700,700,700
