State Inflow Capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum of Capacity (mmcfd),,year,,,,,,,,,,,,,,,,,,,,,,,,,
,Kentucky,"3,614","3,614","3,614","3,560","3,560","3,560","3,560","3,560","3,560","3,560","3,560","3,560","3,560","3,560","3,560","3,560","3,560","3,560","3,560","3,560","3,560","3,560","3,560","3,560","3,560","1,315"
,Michigan,"1,567","1,567","1,567","1,567","1,567","1,567","1,567","1,567","1,567","1,567","1,567","1,567","1,567","1,567","1,567","1,567","1,567","1,567","1,567","1,567","1,567","1,567","1,417","1,417","1,417","1,273"
,Ohio,"5,460","5,110","3,785","2,227",468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,
Indiana Total,,"20,235","19,885","18,560","16,948","15,189","15,189","15,189","15,189","15,189","15,039","13,134","13,134","12,889","12,759","12,759","12,759","12,516","11,886","11,127","10,407","10,297","10,297","10,013","10,013","10,013","3,838"
Iowa,Illinois,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,
,Minnesota,"4,125","4,125","4,125","4,125","4,125","4,125","4,125","4,125","4,125","4,125","4,125","4,125","4,125","4,125","4,050","4,050","4,050","3,882","3,882","2,250","2,250","1,575","1,575","1,575","1,575",0
,Missouri,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,
,Nebraska,"3,302","3,302","3,302","3,302","3,302","3,302","3,302","3,302","3,302","3,302","3,302","3,302","3,294","3,294","3,294","3,294","3,294","3,204","3,204","3,204","3,204","3,204","3,204","3,204","3,204",
,South Dakota,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,
Iowa Total,,"8,202","8,202","8,202","8,202","8,202","8,202","8,202","8,202","8,202","8,202","8,202","8,202","8,194","8,194","8,119","8,119","8,119","7,861","7,861","6,229","6,229","5,554","5,554","5,554","5,554",0
Kansas,Colorado,"1,519","1,519","1,519","1,519","1,519","1,519","1,519","1,519","1,519","1,519","1,519","1,429","1,400","1,400","1,126",566,566,566,566,480,480,480,450,450,450,
,Nebraska,"1,840","1,840","1,840","1,840","1,840","2,095","2,095","2,095","2,095","2,095","1,795",295,295,295,295,295,295,295,295,295,295,295,40,40,40,
,Oklahoma,"6,008","6,008","6,008","6,008","6,008","6,008","6,008","6,008","6,008","6,008","6,008","5,958","6,008","6,008","6,008","6,008","6,008","6,008","6,008","6,008","6,008","6,008","6,008","6,008","6,008",
Kansas Total,,"9,367","9,367","9,367","9,367","9,367","9,622","9,622","9,622","9,622","9,622","9,322","7,682","7,703","7,703","7,429","6,869","6,869","6,869","6,869","6,783","6,783","6,783","6,498","6,498","6,498",
Kentucky,Illinois,750,750,,,,,,,,,,,,,,,,,,,,,,,,
,Indiana,"2,142","2,142","1,858","1,100",350,350,350,350,350,350,350,350,350,350,350,350,350,0,0,0,0,0,0,0,0,
,Ohio,"4,243","4,243","3,579","3,221","1,996","1,996","1,996","1,996","1,996","1,996",219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,
,Tennessee,"12,596","12,596","12,596","12,596","12,596","12,596","12,596","12,596","12,596","12,596","12,596","12,596","12,596","12,596","12,596","12,596","12,596","12,596","12,851","12,851","12,544","12,544","12,544","12,544","12,544",
,West Virginia,"2,701","2,389","2,389","1,951",520,520,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,
Kentucky Total,,"22,432","22,120","20,422","18,868","15,462","15,462","15,018","15,018","15,018","15,018","13,241","13,241","13,241","13,241","13,241","13,241","13,241","12,891","13,146","13,146","12,839","12,839","12,839","12,839","12,839",
Louisiana,Arkansas,"4,605","4,605","2,214","1,456",706,706,706,706,706,706,706,706,706,706,706,706,706,706,706,706,706,706,706,706,706,
,Gulf of Mexico,"16,784","16,784","16,784","16,784","16,784","16,784","16,784","16,784","16,784","16,784","17,994","17,994","17,994","17,994","17,844","17,844","17,844","17,844","17,844","17,844","17,844","16,944","15,744","14,944","14,944","1,919"
,Mississippi,"5,015","5,015","2,838","2,279","1,470",920,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,70
,Texas,"18,577","18,577","18,577","18,577","18,577","18,577","18,577","18,577","16,077","13,947","10,588","8,372","6,459","6,337","6,257","6,257","6,254","6,254","6,254","6,244","5,909","6,104","6,084","5,942","5,942",
Louisiana Total,,"44,981","44,981","40,413","39,096","37,537","36,987","36,447","36,447","33,947","31,817","29,668","27,452","25,539","25,417","25,187","25,187","25,184","25,184","25,184","25,174","24,839","24,134","22,914","21,972","21,972","1,989"
Maine,New Brunswick,833,833,833,833,833,833,833,833,833,833,415,415,415,415,415,415,415,415,415,400,0,0,0,0,0,
,New Hampshire,356,305,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,209,209,209,62,62,62,62,62,
Maine Total,,"1,189","1,138","1,080","1,080","1,080","1,080","1,080","1,080","1,080","1,080",662,662,662,662,662,662,662,624,624,609,62,62,62,62,62,
Manitoba,Minnesota,713,713,713,713,713,713,713,713,,,,,,,,,,,,,,,,,,
Manitoba Total,,713,713,713,713,713,713,713,713,,,,,,,,,,,,,,,,,,
Maryland,Delaware,22,22,22,22,22,22,22,22,22,22,22,22,22,22,16,16,16,16,16,16,16,15,10,10,10,
,Pennsylvania,"4,169","2,869","2,314","2,122","1,691","1,691","1,691","1,271","1,271","1,271","1,271","1,260","1,250","1,224","1,205",983,983,978,966,951,951,949,930,930,837,
,Virginia,"5,902","5,402","5,295","5,163","5,163","5,163","5,163","5,163","5,163","5,163","5,163","4,463","4,298","4,298","3,865","3,865","3,865","3,865","3,865","3,865","3,865","3,852","3,798","3,798","3,213",
,West Virginia,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Maryland Total,,"10,097","8,297","7,635","7,311","6,880","6,880","6,880","6,460","6,460","6,460","6,460","5,749","5,574","5,548","5,090","4,868","4,868","4,863","4,851","4,836","4,836","4,820","4,742","4,742","4,064",
Massachusetts,Connecticut,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,
,New Hampshire,835,833,833,833,833,833,833,833,833,833,628,628,628,628,628,628,628,628,588,588,0,0,0,0,0,
,New York,"1,169","1,169","1,169","1,169","1,169","1,169","1,169","1,169","1,169","1,169","1,169","1,169","1,059","1,059","1,059","1,059","1,059","1,059","1,059","1,059","1,059","1,059","1,059","1,059","1,059",
,Rhode Island,"1,180","1,087","1,047",705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,665
Massachusetts Total,,"3,264","3,169","3,129","2,787","2,787","2,787","2,787","2,787","2,787","2,787","2,582","2,582","2,472","2,472","2,472","2,472","2,472","2,472","2,432","2,432","1,844","1,844","1,844","1,844","1,844",665
Mexico,Arizona,713,713,713,690,690,489,489,251,251,251,251,251,251,251,251,251,251,242,112,112,34,34,34,34,34,
,California,925,925,925,925,925,925,925,925,925,925,925,925,925,925,925,925,925,425,425,25,25,25,0,0,0,
,Texas,"9,457","8,324","5,824","5,254","5,114","2,799","2,197","2,197","2,197","2,147","2,147","2,087","2,087","2,087","2,049","2,062","1,667","1,232","1,232",982,797,797,589,589,589,
Mexico Total,,"11,095","9,962","7,462","6,869","6,729","4,213","3,611","3,373","3,373","3,323","3,323","3,263","3,263","3,263","3,225","3,238","2,843","1,899","1,769","1,119",856,856,623,623,623,
Michigan,Indiana,"3,609","3,609","3,609","3,609","3,609","3,609","3,609","3,609","3,609","3,609","3,504","3,504","3,259","3,259","3,259","3,259","3,259","2,979","2,979","2,259","2,259","2,259","2,109","2,109","2,109","1,226"
,Ohio,"4,892","1,892","1,892","1,892","1,892","1,892","1,892","1,892","1,892","1,892","1,892","1,892","1,892","1,892","1,892","1,892","1,892","1,892","1,892","1,892","1,892","1,892","1,892","1,892","1,892",
,Ontario,"3,082","3,082","3,082","3,082","3,082","3,082","3,082","3,082","3,082","3,082","2,977","2,977","2,732","2,732","2,732","2,732","2,732","2,452","2,452","1,732","1,732","1,732","1,732","1,732","1,482",
,Wisconsin,"2,456","2,456","2,456","2,456","2,456","2,456","2,456","2,456","2,456","2,456","2,456","2,456","2,456","2,456","2,456","2,456","2,456","2,456","2,456","2,456","2,456","2,330","2,330","2,330","2,330",
Michigan Total,,"14,039","11,039","11,039","11,039","11,039","11,039","11,039","11,039","11,039","11,039","10,829","10,829","10,339","10,339","10,339","10,339","10,339","9,779","9,779","8,339","8,339","8,213","8,063","8,063","7,813","1,226"
Minnesota,Iowa,"1,930","1,930","1,930","1,930","1,930","1,930","1,930","1,930","1,930","1,930","1,930","1,930","1,710","1,710","1,710","1,710","1,710","1,620","1,620","1,620","1,620","1,620","1,378","1,270","1,270",
,Manitoba,"2,991","2,991","2,991","2,991","2,991","2,991","2,991","2,991","2,991","2,991","2,991","2,991","2,991","2,991","2,991","2,991","2,991","2,991","2,991","2,991","2,963","2,837","2,774","2,755","2,755",
,North Dakota,"1,875","1,875","1,875","1,875","1,875","1,875","1,875","1,875","1,875","1,875","1,875","1,875","1,875","1,875","1,800","1,800","1,800","1,632","1,632",0,0,0,0,0,0,0
,Ontario,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,
