Pipeline,Segment,State From,State To,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
Great Lakes Gas Trans Ltd,M1 Back,Minnesota,Manitoba,713.0,713.0,713.0,713.0,713.0,713.0,713.0,713.0,0.0,0.0,0.0,0.0
Gulf Crossing Pipeline,M1,Oklahoma,Texas,1726.0,1726.0,1726.0,1726.0,1726.0,1726.0,1726.0,1726.0,1726.0,1726.0,0.0,0.0
Gulf Crossing Pipeline,M2,Texas,Louisiana,1726.0,1726.0,1726.0,1726.0,1726.0,1726.0,1726.0,1726.0,1726.0,1726.0,0.0,0.0
Gulf South Pipeline Co,M1,Texas,Louisiana,3203.0,3203.0,3203.0,3203.0,3203.0,3203.0,3203.0,3203.0,3203.0,2647.0,2647.0,947.0
Gulf South Pipeline Co,M2,Louisiana,Mississippi,3296.0,3296.0,3296.0,3296.0,3296.0,3296.0,3296.0,3296.0,3296.0,2730.0,2730.0,1030.0
Gulf South Pipeline Co,M3,Mississippi,Alabama,2983.0,2983.0,2983.0,2983.0,2983.0,2472.0,2472.0,2472.0,2472.0,2472.0,2472.0,950.0
Gulf South Pipeline Co,M4,Alabama,Florida,190.0,190.0,190.0,190.0,190.0,190.0,190.0,190.0,190.0,190.0,190.0,190.0
Gulf South Pipeline Co,M3 Back,Alabama,Mississippi,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
Gulf South Pipeline Co,M2 Back,Mississippi,Louisiana,310.0,310.0,310.0,310.0,310.0,310.0,310.0,310.0,310.0,310.0,310.0,310.0
Gulf South Pipeline Co,M1 Back,Louisiana,Texas,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
Gulfstream Natural Gas System (via the Gulf of Mexico),M1,Alabama,Florida,1285.0,1285.0,1285.0,1285.0,1285.0,1285.0,1285.0,1285.0,1285.0,1285.0,1285.0,1130.0
Iroquois Pipeline Co,M1,Ontario,New York,1150.0,1150.0,1150.0,1150.0,1150.0,1150.0,1150.0,1150.0,1150.0,1150.0,1150.0,1150.0
